Date,Open,High,Low,Close,Volume,Name
13/08/2012,324.03,330.41,323.66,40,3268073,GOOGL
14/08/2012,329.95,336.76,329.83,53,3662178,GOOGL
15/08/2012,335.48,337.46,332.38,49,2411100,GOOGL
16/08/2012,334.09,337.66,333.87,36,1717691,GOOGL
17/08/2012,337.4,338.96,336.19,51,2177896,GOOGL
20/08/2012,338.09,339.77,336.67,49,1758421,GOOGL
21/08/2012,336.89,339.34,331.42,36,2222805,GOOGL
22/08/2012,334.02,340.64,333.68,47,1909262,GOOGL
23/08/2012,337.47,340.58,335.84,43,1784453,GOOGL
24/08/2012,338.14,340.57,337.38,48,1429267,GOOGL
27/08/2012,331.83,336.34,329.95,46,2614131,GOOGL
28/08/2012,332.83,339.15,332.7,41,2058938,GOOGL
29/08/2012,339.02,344.84,338.41,49,2991037,GOOGL
30/08/2012,342.46,344.04,340.43,33,1627704,GOOGL
31/08/2012,342.34,344.63,340.36,39,2127125,GOOGL
04/09/2012,342.62,342.84,337.09,49,1889613,GOOGL
05/09/2012,340.34,343.59,339.91,32,1708169,GOOGL
06/09/2012,343.32,350.29,342.71,47,3044450,GOOGL
07/09/2012,350.35,356.48,349.18,36,3236308,GOOGL
10/09/2012,355.23,356.76,349.54,44,2560067,GOOGL
11/09/2012,349.33,350.68,345.85,43,1874004,GOOGL
12/09/2012,345.05,347.8,340.78,39,2642260,GOOGL
13/09/2012,346.89,354.85,345.62,33,2659302,GOOGL
14/09/2012,355.15,356.86,353.86,37,2618874,GOOGL
17/09/2012,354.41,356.8,352.85,40,1508307,GOOGL
18/09/2012,354.24,359.69,353.74,44,2067249,GOOGL
19/09/2012,359.11,364.64,358.56,40,3098782,GOOGL
20/09/2012,362.6,366.06,360.97,40,2907854,GOOGL
21/09/2012,366.47,367.83,365.43,33,6360376,GOOGL
24/09/2012,365.87,375.4,365.49,34,3565837,GOOGL
25/09/2012,376.9,382.83,374.2,35,6061033,GOOGL
26/09/2012,375.3,381,370.87,43,5674334,GOOGL
27/09/2012,380.35,381.8,376.2,35,3932272,GOOGL
28/09/2012,377.45,380.03,375.95,46,2784091,GOOGL
01/10/2012,379.9,382.88,378.48,37,3168477,GOOGL
02/10/2012,382.98,383.38,375.51,31,2790375,GOOGL
03/10/2012,378.24,382.34,376.48,27,2208639,GOOGL
04/10/2012,381.76,385.33,380.08,29,2454496,GOOGL
05/10/2012,385.74,387.58,382.88,33,2737751,GOOGL
08/10/2012,380.88,382.17,377.45,23,1958625,GOOGL
09/10/2012,380.22,381.04,371.64,22,3003884,GOOGL
10/10/2012,371.3,374.14,369.51,23,2041203,GOOGL
11/10/2012,376.83,379.63,375.52,23,2383987,GOOGL
12/10/2012,376.3,377.81,372.42,36,2406787,GOOGL
15/10/2012,371.34,372.29,365.72,37,3020098,GOOGL
16/10/2012,370.44,373.87,368.6,25,2058468,GOOGL
17/10/2012,372.35,378.55,370.5,28,2292819,GOOGL
18/10/2012,378.15,380.09,338.34,37,12442346,GOOGL
19/10/2012,353.14,353.7,336.34,30,11483428,GOOGL
22/10/2012,340.85,342.66,335.18,23,4057872,GOOGL
23/10/2012,336.34,344.01,336.34,31,2916978,GOOGL
24/10/2012,343.74,343.84,337.97,28,2496411,GOOGL
25/10/2012,340.34,341.34,337.09,26,2403696,GOOGL
26/10/2012,338.59,341.86,335.94,32,1950865,GOOGL
31/10/2012,340.27,340.84,337.84,20,1537001,GOOGL
01/11/2012,340.09,345.8,339.7,24,2050471,GOOGL
02/11/2012,347.74,348.12,344.03,22,2324569,GOOGL
05/11/2012,342.59,343.77,338.12,25,1635894,GOOGL
06/11/2012,343.08,343.59,339.11,26,1582936,GOOGL
07/11/2012,337.84,339.46,333.58,20,2232438,GOOGL
08/11/2012,335.44,336.08,325.94,26,2598676,GOOGL
09/11/2012,327.65,334.5,325.48,30,3114084,GOOGL
12/11/2012,332.21,335.23,330.77,20,1405870,GOOGL
13/11/2012,331.83,334.13,329.44,30,1594639,GOOGL
14/11/2012,330.66,331.42,325.58,26,1668322,GOOGL
15/11/2012,325.32,330.33,322.27,19,1848939,GOOGL
16/11/2012,323.32,326.83,318.32,21,3438500,GOOGL
19/11/2012,328.18,334.79,328.09,29,2369716,GOOGL
20/11/2012,335.09,339.34,332.62,26,2089086,GOOGL
21/11/2012,334.83,335.23,330.53,13,2113011,GOOGL
23/11/2012,335.32,335.33,333.38,40,922477,GOOGL
26/11/2012,333.55,333.83,329.84,18,2205527,GOOGL
27/11/2012,330.42,337.84,329.33,24,2509598,GOOGL
28/11/2012,334.34,342.8,332.28,26,3041940,GOOGL
29/11/2012,344.23,347.3,341.34,16,2780544,GOOGL
30/11/2012,346,349.96,343.19,22,3164441,GOOGL
03/12/2012,351.47,353.3,347.4,22,2193948,GOOGL
04/12/2012,347.85,348.1,343.19,21,1991605,GOOGL
05/12/2012,346.42,347.6,341.51,19,1862735,GOOGL
06/12/2012,344.14,348.15,342.6,28,1462216,GOOGL
07/12/2012,347.85,348.79,341.55,17,1919476,GOOGL
10/12/2012,343.04,346.17,342.24,25,1366866,GOOGL
11/12/2012,345.34,351.31,344.2,23,2687956,GOOGL
12/12/2012,349.96,352.11,347.09,25,2426299,GOOGL
13/12/2012,358.32,358.6,350.12,21,3446306,GOOGL
14/12/2012,349.93,354.26,349.56,15,2130595,GOOGL
17/12/2012,353.1,369.51,352.36,22,3036763,GOOGL
18/12/2012,358.66,364.91,357.88,22,3005138,GOOGL
19/12/2012,360.72,361.86,358.7,34,1919799,GOOGL
20/12/2012,361.99,362.69,358.84,30,1657153,GOOGL
21/12/2012,357.34,359.77,355.62,19,3527849,GOOGL
24/12/2012,357.61,357.95,354.09,15,841931,GOOGL
26/12/2012,354.39,356.8,351.56,21,1182572,GOOGL
27/12/2012,353.92,354.77,349.65,14,1647392,GOOGL
28/12/2012,351.2,353.81,350.36,10,1403926,GOOGL
31/12/2012,350.35,355.64,348.35,13,1997733,GOOGL
02/01/2013,360.07,363.86,358.63,11,2542268,GOOGL
03/01/2013,362.83,366.33,360.72,18,2318140,GOOGL
04/01/2013,365.03,371.11,364.2,13,2763552,GOOGL
07/01/2013,368.09,370.06,365.66,16,1655967,GOOGL
08/01/2013,368.14,368.52,362.58,11,1676740,GOOGL
09/01/2013,366.5,369.54,364.66,15,2025751,GOOGL
10/01/2013,371.79,372.87,367.12,8,1835780,GOOGL
11/01/2013,371.37,371.58,368.52,16,1285125,GOOGL
14/01/2013,368.87,371.47,361.54,13,2864106,GOOGL
15/01/2013,360.02,367.87,356.41,11,3927990,GOOGL
16/01/2013,361.56,362.53,357.19,14,2024991,GOOGL
17/01/2013,359.21,360.18,355.87,8,2212357,GOOGL
18/01/2013,355.54,356.74,351.02,19,3226898,GOOGL
22/01/2013,352.68,353.02,348.11,24,3792336,GOOGL
23/01/2013,368.36,374.87,368.26,10,5911865,GOOGL
24/01/2013,370.99,378.79,370.62,13,3383596,GOOGL
25/01/2013,375.76,379.62,375.5,11,2225811,GOOGL
28/01/2013,376.26,378.18,374.32,17,1627833,GOOGL
29/01/2013,373.75,378.85,373.64,10,1747734,GOOGL
30/01/2013,377.25,380.86,376.83,10,1732972,GOOGL
