cvr,agg5,agg10,agg20,diff1,diff2,diff3,diff4
0.16129,0.12455,0.12356,0.12871,0,0,0,0
0.098182,0.12455,0.12356,0.12871,-0.063109,0,0,0
0.10662,0.12455,0.12356,0.12871,0.0084358,0.071544,0,0
0.12639,0.12455,0.12356,0.12871,0.019776,0.011341,-0.060204,0
0.13027,0.12455,0.12356,0.12871,0.0038741,-0.015902,-0.027243,0.032961
0.11722,0.12257,0.12356,0.12871,-0.013052,-0.016926,-0.001024,0.026219
0.125,0.12257,0.12356,0.12871,0.0077839,0.020836,0.037762,0.038786
0.11111,0.12257,0.12356,0.12871,-0.013889,-0.021673,-0.042509,-0.080271
0.13406,0.12257,0.12356,0.12871,0.022947,0.036836,0.058509,0.10102
0.12545,0.12257,0.12356,0.12871,-0.0086099,-0.031557,-0.068393,-0.1269
0.14938,0.14175,0.13386,0.12871,0.02393,0.03254,0.064096,0.13249
0.12143,0.14175,0.13386,0.12871,-0.027949,-0.051879,-0.084418,-0.14851
0.12545,0.14175,0.13386,0.12871,0.0040195,0.031968,0.083847,0.16827
0.18113,0.14175,0.13386,0.12871,0.055684,0.051665,0.019696,-0.064151
0.13139,0.14175,0.13386,0.12871,-0.049745,-0.10543,-0.15709,-0.17679
0.11972,0.12596,0.13386,0.12871,-0.011669,0.038077,0.14351,0.3006
0.12821,0.12596,0.13386,0.12871,0.0084868,0.020155,-0.017921,-0.16143
0.15209,0.12596,0.13386,0.12871,0.023886,0.015399,-0.0047561,0.013165
0.13103,0.12596,0.13386,0.12871,-0.021057,-0.044943,-0.060342,-0.055586
0.098765,0.12596,0.13386,0.12871,-0.032269,-0.011212,0.033731,0.094073
0.1284,0.12715,0.12008,0.12077,0.029639,0.061908,0.073121,0.03939
0.15726,0.12715,0.12008,0.12077,0.028853,-0.00078584,-0.062694,-0.13581
0.15414,0.12715,0.12008,0.12077,-0.0031227,-0.031976,-0.03119,0.031504
0.095941,0.12715,0.12008,0.12077,-0.058194,-0.055072,-0.023096,0.0080948
0.1,0.12715,0.12008,0.12077,0.004059,0.062253,0.11733,0.14042
0.091286,0.11301,0.12008,0.12077,-0.0087137,-0.012773,-0.075026,-0.19235
0.11494,0.11301,0.12008,0.12077,0.023656,0.03237,0.045143,0.12017
0.10561,0.11301,0.12008,0.12077,-0.009332,-0.032988,-0.065358,-0.1105
0.1058,0.11301,0.12008,0.12077,0.00019149,0.0095235,0.042512,0.10787
0.14741,0.11301,0.12008,0.12077,0.041608,0.041417,0.031893,-0.010618
0.15356,0.1233,0.12147,0.12077,0.0061477,-0.035461,-0.076877,-0.10877
0.092527,0.1233,0.12147,0.12077,-0.061031,-0.067179,-0.031718,0.045159
0.15385,0.1233,0.12147,0.12077,0.061319,0.12235,0.18953,0.22125
0.098901,0.1233,0.12147,0.12077,-0.054945,-0.11626,-0.23862,-0.42815
0.11765,0.1233,0.12147,0.12077,0.018746,0.073691,0.18996,0.42857
0.11852,0.11964,0.12147,0.12077,0.00087146,-0.017874,-0.091566,-0.28152
0.12,0.11964,0.12147,0.12077,0.0014815,0.00061002,0.018485,0.11005
0.13008,0.11964,0.12147,0.12077,0.010081,0.0085998,0.0079898,-0.010495
0.11847,0.11964,0.12147,0.12077,-0.011614,-0.021696,-0.030296,-0.038285
